team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc1983,1729,17,8,7,2,14,1.2142857142857142
frc1984,1562,1,0,0,0,14,0.07142857142857142
frc1985,1450,3,1,2,0,14,0.21428571428571427
frc1986,1770,16,8,5,3,14,1.1428571428571428
frc1987,1638,2,1,1,0,14,0.14285714285714285
frc1989,1457,1,0,0,1,14,0.07142857142857142
frc1991,1568,2,1,0,1,14,0.14285714285714285
frc1994,1406,0,0,0,0,14,0.0
frc1997,1515,1,0,0,1,14,0.07142857142857142
frc2001,1423,0,0,0,0,14,0.0
frc2010,1468,2,0,1,1,14,0.14285714285714285
frc2013,1512,3,0,2,1,14,0.21428571428571427
frc2016,1635,5,1,1,3,14,0.35714285714285715
frc2022,1540,1,0,0,1,14,0.07142857142857142
frc2027,1493,0,0,0,0,14,0.0
frc2028,1577,1,0,0,1,14,0.07142857142857142
frc2035,1508,0,0,0,0,14,0.0
frc2036,1482,1,0,0,1,14,0.07142857142857142
frc2039,1559,1,1,0,0,14,0.07142857142857142
frc2040,1649,1,0,0,1,14,0.07142857142857142
frc2046,1845,11,5,5,1,14,0.7857142857142857
frc2048,1619,2,0,0,1,12,0.16666666666666666
frc2051,1464,0,0,0,0,14,0.0
frc2052,1715,8,4,3,1,14,0.5714285714285714
frc2053,1558,1,0,0,1,14,0.07142857142857142
frc2054,1715,11,3,6,2,14,0.7857142857142857
frc2056,1945,35,18,12,5,14,2.5
frc2059,1595,4,1,2,0,10,0.4
frc2062,1656,6,0,6,0,14,0.42857142857142855
frc2064,1592,1,0,0,1,14,0.07142857142857142
